record_time_tag_int,items_2_3_packed,observable_int,observable_frac,items_6_14_packed,items_15_19_packed,items_20_22_packed
1812104823,b'',-94,-242895125,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104833,b'',-91,-308715819,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104843,b'',-88,-364830016,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104853,b'',-85,-421264647,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104863,b'',-82,-457227706,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104873,b'',-79,-487470626,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104883,b'',-76,-507724761,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104893,b'',-73,-519595145,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104903,b'',-70,-522395133,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104913,b'',-67,-518597602,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104923,b'',-64,-501682280,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104933,b'',-61,-473782538,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104943,b'',-58,-437904357,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104953,b'',-55,-395225524,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104963,b'',-52,-341696738,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104973,b'',-49,-279568671,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
